qid,P1087,qal585,S813,S854,S1440
Q96634,2390,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4600258
Q88227,2325,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4601467
Q90555,2560,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4611268
Q89517,2436,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4611322
Q88430,2347,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4611349
Q86719,2386,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4612884
Q90489,2587,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4627253
Q99835,2424,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4644891
Q93075,1934,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4645936
Q10334356,2019,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,703893
Q27523942,2328,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,907227
Q2105109,2323,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1000373
Q27524488,2350,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1000896
Q27531818,2440,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,100188
Q27525166,2335,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,100412
Q27530691,2315,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,100862
Q27524416,2358,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,101400
Q107792,2036,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,101753
Q27527244,2296,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,106844
Q27523645,2450,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,111651
Q122628,2451,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1300024
Q1096848,2333,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1300130
Q106807,2842,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1503014
Q27524767,2370,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2000660
Q27525407,2324,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,300977
Q16765355,2331,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,320242
Q27524513,2350,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,408280
Q106374,2617,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4100115
Q109727,2300,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4600339
Q109689,2378,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4621646
Q109743,1973,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4652193
Q27530645,2380,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,5000076
Q28481077,1744,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,9400150
Q6584318,2391,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1003704
Q27524326,2365,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,100390
Q27524434,2365,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,100510
Q145792,2370,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1018477
Q3918613,2385,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,13500325
Q319208,2620,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2000032
Q690938,2496,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2000105
Q709682,2550,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2000113
Q2494807,2468,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2000164
